DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2006,81.56,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2007,86.37,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2008,87.06,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2009,88.31,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2010,93.88,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2011,96.87,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2012,99.21,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2013,100.35,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2014,100.00,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2015,100.00,b
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2016,101.29,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2017,102.39,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2018,103.34,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2019,103.77,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2020,105.60,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2021,110.45,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FI,2022,111.75,p
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FR,2000,48.80,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FR,2001,52.60,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FR,2002,57.20,
ESTAT:TIPSHO20(1.0),04/04/23 11:00:00,A,INX_A_AVG,FR,2003,64.00,
